episode,total_reward,length,ammo,ammo_delta,health,hitcount,hitcount_delta,damage_taken,damage_taken_delta,total_timesteps
1,2359.62767,40,0,-21.0,0,0,-15.0,0,60.0,320
2,-282.420441,40,0,-22.0,0,0,0.0,0,18.0,320
3,-775.212723,43,0,-20.0,0,0,0.0,0,60.0,344
4,-1145.161179,44,0,-23.0,0,0,0.0,0,96.0,352
5,249.795578,44,0,-23.0,0,0,-5.0,0,60.0,352
6,-795.708603,40,0,-20.0,0,0,0.0,0,60.0,640
7,-716.680435,37,0,-23.0,0,0,0.0,0,60.0,640
8,1298.151657,43,0,-20.0,0,0,-10.0,0,60.0,696
9,-808.996429,43,0,-21.0,0,0,0.0,0,60.0,696
10,-1109.353516,31,0,-23.0,0,0,0.0,0,96.0,888
11,-1013.925262,38,0,-24.0,0,0,0.0,0,84.0,1000
12,569.011795,141,0,-9.0,0,0,-10.0,0,90.0,1128
13,1985.180206,106,0,-17.0,0,0,-15.0,0,96.0,1168
14,-1185.679932,51,0,-22.0,0,0,0.0,0,96.0,1296
15,934.438721,95,0,-17.0,0,0,-10.0,0,84.0,1400
16,2332.962448,40,0,-23.0,0,0,-15.0,0,66.0,1448
17,689.836002,106,0,-15.0,0,0,-10.0,0,96.0,1544
18,1260.337372,52,0,-19.0,0,0,-10.0,0,66.0,1584
19,-5.869568,74,0,-17.0,0,0,-5.0,0,78.0,1592
20,-743.021393,37,0,-21.0,0,0,0.0,0,60.0,1744
21,-1112.53392,32,0,-23.0,0,0,0.0,0,96.0,1840
22,67.168732,44,0,-22.0,0,0,-5.0,0,84.0,1944
23,766.406677,83,0,-16.0,0,0,-10.0,0,96.0,2064
24,-946.076996,21,0,-26.0,0,0,0.0,0,90.0,2112
25,2259.699661,40,0,-21.0,0,0,-15.0,0,72.0,2160
26,-1284.355804,71,0,-19.0,0,0,0.0,0,96.0,2312
27,274.718216,37,0,-22.0,0,0,-5.0,0,60.0,2360
28,1787.129684,110,0,-17.0,0,0,-15.0,0,90.0,2424
29,1300.224609,49,0,-20.0,0,0,-10.0,0,66.0,2552
30,3391.310745,323,0,0.0,0,0,-25.0,0,78.0,2584
31,-510.979095,29,0,-22.0,0,0,0.0,0,48.0,2656
32,848.256912,69,0,-18.0,0,0,-10.0,0,96.0,2664
33,-1046.742874,48,0,-20.0,0,0,0.0,0,90.0,2744
34,-816.006561,29,0,-23.0,0,0,0.0,0,78.0,2816
35,1124.389252,46,0,-20.0,0,0,-10.0,0,84.0,2920
36,920.564346,46,0,-19.0,0,0,-10.0,0,96.0,3112
37,985.657104,40,0,-23.0,0,0,-10.0,0,96.0,3136
38,1843.653534,106,0,-16.0,0,0,-15.0,0,90.0,3160
39,-478.071838,32,0,-23.0,0,0,0.0,0,42.0,3368
40,1856.086746,92,0,-18.0,0,0,-15.0,0,96.0,3392
41,-733.151184,37,0,-21.0,0,0,0.0,0,60.0,3456
42,-767.919296,42,0,-23.0,0,0,0.0,0,60.0,3704
43,-740.663849,37,0,-23.0,0,0,0.0,0,60.0,3752
44,1765.942413,105,0,-14.0,0,0,-15.0,0,90.0,3760
45,-802.115387,49,0,-22.0,0,0,0.0,0,60.0,4096
