episode,total_reward,length,ammo,ammo_delta,health,hitcount,hitcount_delta,damage_taken,damage_taken_delta,total_timesteps
1,2359.62767,40,0,-21.0,0,0,-15.0,0,60.0,320
2,-783.680023,40,0,-23.0,0,0,0.0,0,60.0,320
3,-775.212723,43,0,-20.0,0,0,0.0,0,60.0,344
4,249.795578,44,0,-23.0,0,0,-5.0,0,60.0,352
5,-945.037445,49,0,-22.0,0,0,0.0,0,78.0,392
6,2085.354767,66,0,-17.0,0,0,-15.0,0,78.0,528
7,-682.443848,22,0,-23.0,0,0,0.0,0,60.0,528
8,-892.975601,34,0,-21.0,0,0,0.0,0,72.0,592
9,2296.457535,40,0,-21.0,0,0,-15.0,0,66.0,640
10,-716.680435,37,0,-23.0,0,0,0.0,0,60.0,640
11,2227.81398,48,0,-22.0,0,0,-15.0,0,78.0,776
12,279.691833,37,0,-22.0,0,0,-5.0,0,60.0,824
13,-745.327896,37,0,-22.0,0,0,0.0,0,66.0,888
14,-821.541809,52,0,-22.0,0,0,0.0,0,60.0,1304
15,-175.130295,71,0,-17.0,0,0,-5.0,0,90.0,1344
16,395.240128,36,0,-22.0,0,0,-5.0,0,60.0,1632
17,-724.41391,40,0,-23.0,0,0,0.0,0,60.0,1952
18,973.875519,403,0,0.0,0,0,-15.0,0,84.0,3224
19,3972.574234,107,0,-16.0,0,0,-25.0,0,90.0,4080
20,2382.204498,350,0,0.0,0,0,-20.0,0,96.0,4104
21,1755.344668,525,0,0.0,0,0,-25.0,0,66.0,4200
22,334.563736,39,0,-23.0,0,0,-5.0,0,66.0,4392
23,-774.977814,37,0,-23.0,0,0,0.0,0,60.0,4496
24,1284.99676,525,0,0.0,0,0,-20.0,0,66.0,4728
25,2338.073685,48,0,-23.0,0,0,-15.0,0,66.0,4776
26,915.54155,525,0,0.0,0,0,-15.0,0,48.0,4840
27,168.103302,525,0,0.0,0,0,-15.0,0,84.0,4840
28,1206.416,63,0,-16.0,0,0,-10.0,0,60.0,5000
29,3422.285095,525,0,0.0,0,0,-30.0,0,84.0,5024
30,320.434372,37,0,-22.0,0,0,-5.0,0,60.0,5072
31,-632.760468,35,0,-25.0,0,0,0.0,0,54.0,5120
32,-693.042297,37,0,-20.0,0,0,0.0,0,60.0,5136
33,2312.057434,69,0,-21.0,0,0,-15.0,0,54.0,5280
