episode,total_reward,length,ammo,ammo_delta,health,hitcount,hitcount_delta,damage_taken,damage_taken_delta,total_timesteps
116,-671.921204,39,0,0,0,0,0,0,0,11856
117,-902.075485,29,0,0,0,0,0,0,0,12032
118,-878.6819,87,0,0,0,0,0,0,0,12072
119,-608.554459,37,0,0,0,0,0,0,0,12368
120,-595.678558,47,0,0,0,0,0,0,0,12744
121,-847.367859,27,0,0,0,0,0,0,0,12960
122,-2179.625427,525,0,0,0,0,0,0,0,13008
123,-1370.32489,135,0,0,0,0,0,0,0,13112
124,-883.147491,42,0,0,0,0,0,0,0,13344
125,-1116.438202,64,0,0,0,0,0,0,0,13472
126,-1791.311676,236,0,0,0,0,0,0,0,13744
127,-2340.75383,525,0,0,0,0,0,0,0,13912
128,-770.463333,37,0,0,0,0,0,0,0,14208
129,-1949.782486,525,0,0,0,0,0,0,0,14408
130,-627.430954,40,0,0,0,0,0,0,0,14528
131,-736.727478,98,0,0,0,0,0,0,0,14528
132,-791.22435,37,0,0,0,0,0,0,0,14704
133,-824.967789,38,0,0,0,0,0,0,0,14832
134,-1631.160355,195,0,0,0,0,0,0,0,14904
135,-1010.236786,28,0,0,0,0,0,0,0,14928
136,-931.857574,67,0,0,0,0,0,0,0,15064
137,-539.90921,40,0,0,0,0,0,0,0,15152
138,-856.186005,39,0,0,0,0,0,0,0,15216
139,-635.044922,46,0,0,0,0,0,0,0,15296
140,-1996.369186,235,0,0,0,0,0,0,0,15352
141,-611.138062,40,0,0,0,0,0,0,0,15472
142,-953.131882,57,0,0,0,0,0,0,0,15672
143,-2062.377777,525,0,0,0,0,0,0,0,15712
144,-1107.70105,91,0,0,0,0,0,0,0,15792
145,-2090.588455,525,0,0,0,0,0,0,0,16048
146,-1185.774948,97,0,0,0,0,0,0,0,16072
147,-1211.161285,56,0,0,0,0,0,0,0,16120
148,-751.146912,43,0,0,0,0,0,0,0,16136
149,-1083.025406,101,0,0,0,0,0,0,0,16160
150,-668.194519,32,0,0,0,0,0,0,0,16328
151,-631.767212,43,0,0,0,0,0,0,0,16392
152,-601.668472,40,0,0,0,0,0,0,0,16480
153,-543.839447,21,0,0,0,0,0,0,0,16560
154,-1086.245865,77,0,0,0,0,0,0,0,16736
155,-969.800491,79,0,0,0,0,0,0,0,16768
156,-715.93129,37,0,0,0,0,0,0,0,16776
157,-934.267059,76,0,0,0,0,0,0,0,16936
158,-1401.290115,205,0,0,0,0,0,0,0,17112
159,-725.224213,37,0,0,0,0,0,0,0,17232
160,-849.970016,65,0,0,0,0,0,0,0,17256
161,-3109.158524,525,0,0,0,0,0,0,0,17312
162,-1156.317764,104,0,0,0,0,0,0,0,17392
163,-1119.904541,80,0,0,0,0,0,0,0,17416
164,-797.545105,37,0,0,0,0,0,0,0,17552
165,-1093.195114,84,0,0,0,0,0,0,0,17784
166,-1205.731689,59,0,0,0,0,0,0,0,17888
167,-1129.099426,69,0,0,0,0,0,0,0,17944
168,-1482.742523,155,0,0,0,0,0,0,0,18008
169,-1088.20546,60,0,0,0,0,0,0,0,18032
170,-610.779617,40,0,0,0,0,0,0,0,18104
171,-1134.17215,102,0,0,0,0,0,0,0,18128
172,-905.931412,24,0,0,0,0,0,0,0,18200
173,-845.929001,43,0,0,0,0,0,0,0,18232
174,-796.747726,40,0,0,0,0,0,0,0,18352
175,-762.647202,40,0,0,0,0,0,0,0,18448
176,-798.004669,70,0,0,0,0,0,0,0,18504
177,-1060.179688,43,0,0,0,0,0,0,0,18544
178,-261.088043,40,0,0,0,0,0,0,0,18552
179,-1036.515091,65,0,0,0,0,0,0,0,18624
180,-542.147903,42,0,0,0,0,0,0,0,18688
181,-810.345139,43,0,0,0,0,0,0,0,18896
182,-634.987656,52,0,0,0,0,0,0,0,18920
183,-926.764221,58,0,0,0,0,0,0,0,19008
184,-815.054047,42,0,0,0,0,0,0,0,19256
185,-733.265076,46,0,0,0,0,0,0,0,19264
186,-620.575928,46,0,0,0,0,0,0,0,19376
187,-637.582657,37,0,0,0,0,0,0,0,19552
188,-864.003204,50,0,0,0,0,0,0,0,19664
189,-1001.611191,122,0,0,0,0,0,0,0,19664
190,-786.475708,37,0,0,0,0,0,0,0,19848
191,-3110.003067,525,0,0,0,0,0,0,0,19912
192,-911.05986,28,0,0,0,0,0,0,0,20072
193,-796.596039,37,0,0,0,0,0,0,0,20208
194,-576.300552,33,0,0,0,0,0,0,0,20336
195,-1027.38591,31,0,0,0,0,0,0,0,20456
196,-1260.813904,104,0,0,0,0,0,0,0,20496
197,-1110.274216,67,0,0,0,0,0,0,0,20872
198,-864.958542,76,0,0,0,0,0,0,0,21104
199,-601.175125,40,0,0,0,0,0,0,0,21192
200,-798.470215,37,0,0,0,0,0,0,0,21400
201,-2083.161453,525,0,0,0,0,0,0,0,21432
202,-809.482086,40,0,0,0,0,0,0,0,21512
203,-545.578659,37,0,0,0,0,0,0,0,21696
204,-699.322678,29,0,0,0,0,0,0,0,21928
205,-697.182358,61,0,0,0,0,0,0,0,22000
206,-956.839645,87,0,0,0,0,0,0,0,22128
207,-575.583939,40,0,0,0,0,0,0,0,22448
208,-2076.872101,525,0,0,0,0,0,0,0,22648
209,-1295.384995,82,0,0,0,0,0,0,0,22656
210,-839.557053,43,0,0,0,0,0,0,0,22792
211,-2784.221512,525,0,0,0,0,0,0,0,22824
212,-800.216324,37,0,0,0,0,0,0,0,22952
213,-725.01886,31,0,0,0,0,0,0,0,23040
214,-1096.385345,36,0,0,0,0,0,0,0,23112
215,-710.530579,40,0,0,0,0,0,0,0,23360
216,-775.139648,37,0,0,0,0,0,0,0,23408
217,-2822.842377,525,0,0,0,0,0,0,0,23576
218,-990.651184,39,0,0,0,0,0,0,0,23672
219,-2892.246262,525,0,0,0,0,0,0,0,23864
220,-843.58577,39,0,0,0,0,0,0,0,23888
221,-795.098434,37,0,0,0,0,0,0,0,23968
222,-966.208725,39,0,0,0,0,0,0,0,24176
223,-1006.584976,58,0,0,0,0,0,0,0,24352
224,-1084.062881,65,0,0,0,0,0,0,0,24488
225,-833.860184,42,0,0,0,0,0,0,0,24512
226,-807.292236,37,0,0,0,0,0,0,0,24648
227,-2156.325348,525,0,0,0,0,0,0,0,24656
228,-671.270691,43,0,0,0,0,0,0,0,24832
229,-785.461624,23,0,0,0,0,0,0,0,24832
230,-936.299454,65,0,0,0,0,0,0,0,25032
231,-620.545364,43,0,0,0,0,0,0,0,25176
232,-1268.92038,99,0,0,0,0,0,0,0,25448
233,-577.252991,44,0,0,0,0,0,0,0,25528
234,-2207.183701,274,0,0,0,0,0,0,0,25600
235,-773.324677,40,0,0,0,0,0,0,0,25848
236,-1131.533554,128,0,0,0,0,0,0,0,26056
237,-2189.855789,525,0,0,0,0,0,0,0,26128
238,-580.252655,38,0,0,0,0,0,0,0,26360
239,-1177.019424,126,0,0,0,0,0,0,0,26456
240,-1069.715057,82,0,0,0,0,0,0,0,26504
241,-637.548508,40,0,0,0,0,0,0,0,26680
242,-2517.298462,525,0,0,0,0,0,0,0,26848
243,-842.851929,64,0,0,0,0,0,0,0,26968
244,-3161.363953,525,0,0,0,0,0,0,0,27152
245,-1387.548859,134,0,0,0,0,0,0,0,27200
246,-1021.758301,66,0,0,0,0,0,0,0,27208
247,-576.832077,40,0,0,0,0,0,0,0,27288
248,-1290.718262,101,0,0,0,0,0,0,0,27312
249,-1133.660629,74,0,0,0,0,0,0,0,27440
250,-924.948074,37,0,0,0,0,0,0,0,27504
251,-794.72963,46,0,0,0,0,0,0,0,27568
252,-596.097275,37,0,0,0,0,0,0,0,27608
253,-856.673859,29,0,0,0,0,0,0,0,27672
254,-848.859589,57,0,0,0,0,0,0,0,27744
255,-472.619629,35,0,0,0,0,0,0,0,27784
256,-1185.109589,39,0,0,0,0,0,0,0,27880
257,-739.357391,37,0,0,0,0,0,0,0,28040
258,-921.04892,49,0,0,0,0,0,0,0,28064
259,-739.390701,37,0,0,0,0,0,0,0,28176
260,-1168.098755,64,0,0,0,0,0,0,0,28296
261,-533.219238,37,0,0,0,0,0,0,0,28336
262,-792.897491,37,0,0,0,0,0,0,0,28592
263,-1493.231445,136,0,0,0,0,0,0,0,28696
264,-1150.040268,54,0,0,0,0,0,0,0,28768
265,-1147.49437,76,0,0,0,0,0,0,0,28784
266,-1016.63092,115,0,0,0,0,0,0,0,28984
267,-2501.936371,525,0,0,0,0,0,0,0,29032
268,-805.90181,40,0,0,0,0,0,0,0,29088
269,-903.591858,55,0,0,0,0,0,0,0,29136
270,-564.849808,44,0,0,0,0,0,0,0,29136
271,-591.352539,40,0,0,0,0,0,0,0,29352
272,-1095.106018,97,0,0,0,0,0,0,0,29368
273,-795.456772,37,0,0,0,0,0,0,0,29432
274,-769.934143,45,0,0,0,0,0,0,0,29496
275,-509.23674,51,0,0,0,0,0,0,0,29496
276,-997.831238,29,0,0,0,0,0,0,0,29584
277,-621.095871,22,0,0,0,0,0,0,0,29672
278,-775.275848,43,0,0,0,0,0,0,0,29712
279,-2200.118362,525,0,0,0,0,0,0,0,29800
280,-1159.763535,112,0,0,0,0,0,0,0,29880
281,-1038.591003,58,0,0,0,0,0,0,0,29960
282,-639.0224,42,0,0,0,0,0,0,0,30048
283,-822.038727,22,0,0,0,0,0,0,0,30136
284,-598.154221,44,0,0,0,0,0,0,0,30232
285,-327.153809,31,0,0,0,0,0,0,0,30384
286,-1269.328201,101,0,0,0,0,0,0,0,30392
287,-900.215103,47,0,0,0,0,0,0,0,30608
288,-738.453522,37,0,0,0,0,0,0,0,30688
289,-621.396484,40,0,0,0,0,0,0,0,30704
290,-1173.724487,92,0,0,0,0,0,0,0,30784
