episode,total_reward,length,ammo,ammo_delta,health,hitcount,hitcount_delta,damage_taken,damage_taken_delta,total_timesteps
116,-1144.630234,49,0,0,0,0,0,0,0,11432
117,-867.750198,34,0,0,0,0,0,0,0,11560
118,-1018.030563,50,0,0,0,0,0,0,0,11560
119,-809.140213,37,0,0,0,0,0,0,0,11592
120,-1114.824966,26,0,0,0,0,0,0,0,11768
121,-760.94635,43,0,0,0,0,0,0,0,11776
122,-1042.864075,110,0,0,0,0,0,0,0,11808
123,-435.709457,34,0,0,0,0,0,0,0,11832
124,-871.416168,43,0,0,0,0,0,0,0,11936
125,-323.798096,32,0,0,0,0,0,0,0,12024
126,-605.415543,38,0,0,0,0,0,0,0,12080
127,-739.745895,48,0,0,0,0,0,0,0,12216
128,-617.927109,40,0,0,0,0,0,0,0,12344
129,-971.156555,78,0,0,0,0,0,0,0,12432
130,-847.196808,62,0,0,0,0,0,0,0,12432
131,-1104.754959,65,0,0,0,0,0,0,0,12600
132,-603.255844,22,0,0,0,0,0,0,0,12608
133,-731.848938,38,0,0,0,0,0,0,0,12736
134,-600.828384,52,0,0,0,0,0,0,0,12760
135,-490.360031,25,0,0,0,0,0,0,0,12808
136,-919.657455,45,0,0,0,0,0,0,0,12960
137,-813.15509,37,0,0,0,0,0,0,0,13056
138,-628.157486,40,0,0,0,0,0,0,0,13128
139,-853.723206,38,0,0,0,0,0,0,0,13264
140,-948.742279,85,0,0,0,0,0,0,0,13416
141,-2908.984848,525,0,0,0,0,0,0,0,13432
142,-1450.64859,153,0,0,0,0,0,0,0,13440
143,-1054.028458,54,0,0,0,0,0,0,0,13488
144,-814.648239,37,0,0,0,0,0,0,0,13712
145,-565.224884,37,0,0,0,0,0,0,0,13736
146,-694.828918,37,0,0,0,0,0,0,0,13784
147,-2091.583801,525,0,0,0,0,0,0,0,13928
148,-802.46196,37,0,0,0,0,0,0,0,14008
149,-867.365723,49,0,0,0,0,0,0,0,14176
150,-571.42067,37,0,0,0,0,0,0,0,14224
151,-700.702148,18,0,0,0,0,0,0,0,14320
152,-554.179321,40,0,0,0,0,0,0,0,14328
153,-464.247818,34,0,0,0,0,0,0,0,14496
154,-942.113495,104,0,0,0,0,0,0,0,14568
155,-1604.156631,185,0,0,0,0,0,0,0,14608
156,-800.867035,43,0,0,0,0,0,0,0,14664
157,-850.141418,43,0,0,0,0,0,0,0,14840
158,-2420.980667,525,0,0,0,0,0,0,0,14856
159,-664.925293,34,0,0,0,0,0,0,0,14880
160,-1426.81189,185,0,0,0,0,0,0,0,14912
161,-852.313965,37,0,0,0,0,0,0,0,14960
162,-1732.68895,212,0,0,0,0,0,0,0,14960
163,-905.952972,27,0,0,0,0,0,0,0,15096
164,-568.326813,40,0,0,0,0,0,0,0,15160
165,-1223.84848,106,0,0,0,0,0,0,0,15176
166,-1121.514526,87,0,0,0,0,0,0,0,15264
167,-634.945419,46,0,0,0,0,0,0,0,15280
168,-813.288757,40,0,0,0,0,0,0,0,15280
169,-1008.885025,32,0,0,0,0,0,0,0,15416
170,-769.834961,37,0,0,0,0,0,0,0,15472
171,-828.220642,78,0,0,0,0,0,0,0,15480
172,-1032.05307,34,0,0,0,0,0,0,0,15552
173,-802.113388,37,0,0,0,0,0,0,0,15560
174,-772.430801,37,0,0,0,0,0,0,0,15776
175,-1070.247665,80,0,0,0,0,0,0,0,15920
176,-1474.172775,138,0,0,0,0,0,0,0,16064
177,-1108.843857,75,0,0,0,0,0,0,0,16152
178,-608.894531,49,0,0,0,0,0,0,0,16312
179,-1324.191589,114,0,0,0,0,0,0,0,16384
180,-616.080704,43,0,0,0,0,0,0,0,16408
181,-1138.738159,46,0,0,0,0,0,0,0,16520
182,-546.481979,40,0,0,0,0,0,0,0,16728
183,-555.20195,45,0,0,0,0,0,0,0,16744
184,-750.64801,37,0,0,0,0,0,0,0,17040
185,-1021.423614,103,0,0,0,0,0,0,0,17136
186,-802.014832,37,0,0,0,0,0,0,0,17336
187,-1201.301712,88,0,0,0,0,0,0,0,17432
188,-994.001846,135,0,0,0,0,0,0,0,17600
189,-893.809265,38,0,0,0,0,0,0,0,17736
190,-716.097137,28,0,0,0,0,0,0,0,17960
191,-1120.709518,83,0,0,0,0,0,0,0,18000
192,-668.892548,42,0,0,0,0,0,0,0,18336
193,-1770.322922,373,0,0,0,0,0,0,0,18400
194,-1111.123718,77,0,0,0,0,0,0,0,18576
195,-789.545532,37,0,0,0,0,0,0,0,18696
196,-931.35907,74,0,0,0,0,0,0,0,18928
197,-2423.516617,525,0,0,0,0,0,0,0,19296
198,-2925.084549,525,0,0,0,0,0,0,0,19760
199,-1421.167801,139,0,0,0,0,0,0,0,19808
200,-2470.922257,525,0,0,0,0,0,0,0,19976
201,-755.738052,32,0,0,0,0,0,0,0,20016
202,-1214.315338,44,0,0,0,0,0,0,0,20160
203,-1331.548325,127,0,0,0,0,0,0,0,20312
204,-853.662537,43,0,0,0,0,0,0,0,20656
205,-1224.141739,97,0,0,0,0,0,0,0,20792
206,-958.733032,32,0,0,0,0,0,0,0,20912
207,-550.536118,37,0,0,0,0,0,0,0,21088
208,-1425.570236,130,0,0,0,0,0,0,0,21200
209,-802.428589,37,0,0,0,0,0,0,0,21208
