episode,total_reward,length,xscroll,coins,lives,score,time_left,total_timesteps
126,1003.4,3272,2655,21,-1,480,352,6103616
127,1094.0,2904,3048,4,-1,130,0,6105952
128,1059.8,5392,3061,21,-1,520,0,6106912
129,1032.5,5386,3042,17,-1,470,0,6117976
130,728.65,3043,1927,22,-1,510,385,6121280
131,603.5,3054,1653,19,-1,440,388,6122208
132,193.65,5619,899,23,-1,1165,0,6133120
133,305.2,1712,752,18,-1,2520,343,6134976
134,215.55,4017,741,24,-1,2345,344,6138088
135,886.9,3018,2357,19,-1,430,365,6142120
136,510.3,5286,1674,21,-1,490,388,6145760
137,1053.9,5354,3054,20,-1,470,0,6146448
138,510.6,3020,1429,18,-1,390,396,6159136
139,1068.8,5240,3052,22,-1,500,0,6164128
140,-30.8,3176,70,20,-1,920,396,6167528
141,946.15,7613,3042,22,-1,530,0,6167816
142,730.95,565,1848,4,-1,120,387,6168648
143,1054.1,5202,3048,19,-1,430,0,6174736
144,364.55,5245,1317,20,-1,450,397,6180048
145,321.2,1532,757,19,-1,2425,357,6180072
146,1048.9,5202,3035,19,-1,440,0,6187376
147,1046.85,5211,3031,19,-1,440,0,6188136
148,558.05,563,1428,3,-1,90,395,6192640
149,692.9,3038,1837,22,-1,510,385,6192952
150,233.85,3867,768,24,-1,2515,347,6198464
151,884.7,3262,2357,21,-1,500,357,6200832
152,1050.4,5212,3040,19,-1,440,0,6200832
153,472.85,2835,1324,17,-1,360,397,6202752
154,1004.7,2986,2660,18,-1,410,369,6222352
155,615.35,5293,1925,22,-1,520,387,6222392
156,1064.45,5195,3073,19,-1,440,0,6228936
157,1048.3,5254,3040,19,-1,450,0,6234672
158,1050.85,5211,3041,19,-1,440,0,6242520
159,1046.35,5365,3024,21,-1,490,0,6243752
160,391.9,5246,1398,19,-1,430,395,6244720
161,689.85,3031,1841,21,-1,460,386,6253184
162,921.25,7615,3030,18,-1,450,0,6253872
163,599.7,3146,1655,19,-1,540,388,6259840
164,994.05,851,2354,19,-1,420,352,6260680
165,165.2,2604,551,15,-1,1220,369,6263352
166,905.4,3172,2360,24,-1,560,367,6270096
167,912.2,996,2355,4,-1,170,362,6271320
168,930.2,7612,3052,18,-1,470,0,6283288
169,937.95,7617,3047,20,-1,490,0,6283288
170,198.7,3794,721,20,-1,2245,341,6283536
171,411.9,5250,1411,22,-1,500,394,6285752
172,213.55,3845,752,21,-1,2285,357,6291440
173,472.85,2835,1324,17,-1,360,397,6292776
174,160.15,3633,742,9,-1,2245,377,6300384
175,471.95,2829,1321,17,-1,360,397,6306168
176,1176.9,2938,3047,21,-1,440,0,6306792
177,29.8,6152,581,21,-1,2420,347,6309056
178,478.4,2824,1324,18,-1,380,397,6315368
179,639.85,2967,1908,5,-1,190,386,6324120
180,1057.85,5243,3050,20,-1,470,0,6325232
181,606.4,2936,1633,20,-1,440,386,6329656
182,899.65,3111,2363,22,-1,540,372,6333944
183,973.1,7050,3039,22,-1,530,0,6342152
184,524.65,2831,1428,19,-1,400,395,6347880
185,1053.8,5392,3046,21,-1,500,0,6349928
186,948.05,7615,3047,22,-1,530,0,6352360
187,901.1,3134,2357,23,-1,520,367,6354728
188,1067.4,5212,3045,22,-1,490,0,6365816
189,615.8,3016,1654,21,-1,460,387,6366280
190,947.8,7612,3046,22,-1,530,0,6376264
191,714.2,3032,1927,19,-1,460,387,6376616
192,104.1,6202,748,23,-1,2435,364,6383560
193,561.5,2834,1558,16,-1,340,393,6388952
194,777.35,5393,2355,21,-1,520,371,6391024
195,1066.85,5231,3071,20,-1,470,0,6391776
196,43.55,3701,359,17,-1,780,361,6395424
197,359.65,5243,1317,19,-1,430,397,6396672
198,-58.3,4166,75,24,-1,2200,396,6409592
199,1095.7,2970,3048,5,-1,160,0,6415536
200,879.75,3277,2359,20,-1,470,365,6422888
201,354.3,5242,1316,18,-1,440,397,6425496
202,565.55,621,1429,5,-1,130,395,6427856
203,1051.85,5199,3042,19,-1,430,0,6430544
204,1063.0,5196,3057,20,-1,460,0,6432592
205,942.85,7615,3059,20,-1,510,0,6437536
206,776.95,5425,2358,21,-1,510,366,6438824
207,504.95,3033,1429,17,-1,370,395,6439800
208,1041.25,647,2659,2,-1,70,372,6444000
209,400.8,2976,1324,4,-1,130,397,6449304
210,395.75,5165,1560,6,-1,210,393,6450912
211,582.05,1439,1560,6,-1,180,393,6451312
212,556.75,589,1428,3,-1,130,396,6454016
213,1006.9,2990,2641,20,-1,460,372,6454464
214,502.6,552,1313,1,-1,40,397,6458880
215,477.8,3080,1392,15,-1,410,395,6468640
216,989.5,5318,3051,7,-1,250,0,6470400
217,1071.4,5396,3053,24,-1,570,0,6475760
218,895.2,5428,2629,23,-1,570,364,6480960
219,599.05,2999,1810,5,-1,160,383,6494392
220,891.55,3225,2357,22,-1,520,364,6494440
221,1055.05,5399,3050,21,-1,520,0,6494504
222,1161.4,3116,3043,20,-1,430,0,6500688
223,1059.85,5275,3034,22,-1,480,0,6501080
224,459.7,3010,1313,17,-1,390,396,6505040
225,960.45,7619,3066,23,-1,550,0,6511864
226,234.0,1624,713,6,-1,1975,325,6514072
227,951.7,7618,3044,23,-1,560,0,6514960
228,632.65,2931,1673,22,-1,470,389,6517952
229,918.05,1003,2358,5,-1,160,355,6519888
230,260.75,2937,744,22,-1,1215,344,6524184
231,758.45,5471,2355,18,-1,450,359,6538208
232,467.0,2280,1215,19,-1,2570,273,6542424
233,877.6,3116,2346,19,-1,430,367,6542880
234,780.15,5445,2356,22,-1,540,362,6548600
235,919.85,7611,3051,16,-1,440,0,6555280
236,975.95,5293,3039,5,-1,180,0,6556416
237,357.65,5239,1324,18,-1,420,397,6556872
238,561.15,2849,1534,18,-1,410,390,6561000
239,362.95,5233,1324,19,-1,440,397,6561752
240,1033.75,925,2625,6,-1,170,361,6564272
241,1095.1,2938,3055,4,-1,130,0,6578784
242,983.45,5291,3045,6,-1,210,0,6584752
243,522.4,752,1325,6,-1,130,364,6584800
244,474.15,2893,1322,18,-1,390,396,6584896
245,884.4,5424,2639,20,-1,510,364,6586272
246,1044.55,5349,3055,18,-1,430,0,6591392
247,1063.35,5249,3052,21,-1,490,0,6598408
248,1036.7,5486,3040,19,-1,450,0,6604888
249,1062.3,5390,3042,23,-1,580,0,6607392
250,924.1,742,2353,4,-1,120,358,6610824
251,4243.8,2306,721,5,-1,1345,319,6670352
252,1266.0,2871,3051,4,-1,130,0,6674872
253,1891.4,2913,1311,19,-1,400,397,6675208
254,1937.6,2928,3051,6,-1,170,0,6675328
255,1973.2,5328,3058,6,-1,200,0,6694528
256,2931.2,5333,3055,22,-1,590,0,6694568
257,2797.4,5407,3045,21,-1,510,0,6695160
258,2772.6,5444,3043,19,-1,440,0,6695456
259,1772.0,2872,3046,2,-1,100,0,6698184
260,2002.8,641,1310,4,-1,110,397,6700288
261,1444.8,769,2360,4,-1,160,374,6701608
262,2410.8,5202,3045,20,-1,450,0,6711968
263,2003.2,5154,1425,4,-1,130,395,6716560
264,2760.8,3018,1679,20,-1,460,390,6718712
265,2359.6,3149,3061,4,-1,140,0,6719720
266,2031.2,3223,3053,22,-1,460,0,6726072
267,1814.4,2952,1392,4,-1,130,395,6735584
268,3080.2,7613,3057,21,-1,520,0,6735776
269,2024.2,733,1391,11,-1,270,394,6741640
270,2513.8,5271,1690,19,-1,450,390,6743776
271,1503.6,652,1843,6,-1,140,387,6748992
272,3567.0,7612,3054,15,-1,400,0,6759080
273,2484.6,5319,3053,5,-1,170,0,6759112
274,1963.4,5280,3053,5,-1,190,0,6761960
275,3323.0,5355,2360,23,-1,540,378,6768912
276,1409.0,887,2348,5,-1,170,366,6769056
277,2106.8,2955,1393,20,-1,430,395,6772632
278,740.0,570,200,4,-1,80,394,6777192
279,2438.8,5217,3036,20,-1,460,0,6777320
280,5931.6,7392,69,20,-1,900,395,6777848
281,2333.8,3077,2652,7,-1,220,371,6783728
282,3317.4,5378,2357,21,-1,510,375,6784664
283,2329.6,1378,2608,18,-1,390,368,6788216
284,2515.4,5278,1661,19,-1,450,389,6801304
285,2346.8,3024,2359,20,-1,470,378,6802040
286,2777.6,5360,3063,20,-1,460,0,6811792
287,2897.2,5367,3054,20,-1,500,0,6811992
288,1122.4,505,1310,2,-1,50,397,6816032
289,3816.8,5395,2356,18,-1,470,371,6826888
290,2497.8,5269,3074,5,-1,200,0,6830368
291,1235.2,870,1300,4,-1,120,355,6833848
292,3095.4,7614,3064,23,-1,560,0,6838232
293,2250.6,3117,3057,7,-1,260,0,6840968
294,3386.0,5201,3059,18,-1,410,0,6842912
295,3592.4,7613,3055,20,-1,480,0,6845568
296,1334.4,2965,1393,4,-1,150,395,6857568
297,6656.4,6205,741,22,-1,2225,356,6861432
298,3073.0,7610,3052,21,-1,510,0,6862920
299,2189.8,2988,3037,19,-1,410,0,6866816
300,4803.4,1361,357,19,-1,2480,367,6868456
301,1237.8,736,1008,5,-1,120,375,6874344
302,3068.8,7616,3047,18,-1,450,0,6891296
303,6515.0,6940,582,19,-1,1885,328,6896488
304,3097.8,7616,3073,23,-1,540,0,6899160
305,5935.4,7338,69,19,-1,1095,395,6904272
306,5769.8,4707,77,21,-1,1295,396,6904472
307,2773.2,5336,3060,18,-1,410,0,6905608
308,3035.2,5281,1679,18,-1,470,388,6916592
309,5299.0,1681,756,21,-1,2440,350,6917720
310,3091.6,7617,3059,22,-1,540,0,6922368
311,4939.0,2937,747,5,-1,1510,312,6922656
312,5401.4,2371,727,23,-1,2875,329,6924576
313,1316.8,2886,3053,4,-1,120,0,6927560
314,5049.0,1546,555,5,-1,2035,366,6930088
315,2616.4,5313,1893,20,-1,470,383,6933800
316,5956.4,4857,734,20,-1,1185,360,6935344
317,5195.6,2320,656,20,-1,1700,360,6943136
318,5364.8,3575,503,16,-1,2135,377,6945192
319,5742.6,2266,748,19,-1,1780,341,6945688
320,5131.4,1965,78,21,-1,2505,396,6945808
321,2613.6,3181,2356,18,-1,430,368,6948104
322,4877.2,1694,751,18,-1,2315,328,6948896
