episode,total_reward,length,xscroll,coins,lives,score,time_left,total_timesteps
540,4505.45,1075,70,18,-1,2130,396,7418468
541,4483.8,1080,72,17,-1,2430,396,7418528
542,4495.95,1105,59,18,-1,2065,394,7418828
543,4780.2,1224,69,19,-1,2160,395,7420256
544,4755.35,1369,69,15,-1,2040,396,7421996
545,5647.6,1412,528,21,-1,2180,373,7422512
546,4730.45,1419,55,15,-1,2430,394,7422596
547,5120.5,1470,548,20,-1,2280,373,7423208
548,4894.8,1488,774,18,-1,2075,361,7423424
549,4843.75,1561,518,17,-1,2295,360,7424300
550,1899.9,814,2358,17,-1,400,363,7427432
551,1862.95,757,1821,18,-1,410,383,7427612
552,2048.95,617,1315,15,-1,310,397,7427660
