episode,total_reward,length,xscroll,coins,lives,score,time_left,total_timesteps
143,364.4,945,1322,2,0,100,396,351472
144,34.0,398,170,0,0,0,391,351680
145,1113.8,2280,1319,17,0,380,395,352344
146,302.4,2012,1012,2,0,140,258,354192
147,135.0,874,175,2,0,60,391,355216
148,182.0,875,160,3,0,90,388,355448
149,848.2,2082,741,14,0,1680,304,356712
150,317.0,899,1335,1,0,40,394,358872
151,366.0,1004,1330,2,0,60,393,360376
152,208.8,890,544,2,0,70,372,361312
153,131.6,857,158,2,0,70,390,362072
154,187.4,880,687,1,0,40,358,363752
155,253.6,1660,1018,1,0,100,305,363816
156,158.2,1676,541,1,0,30,376,364880
157,168.0,619,590,1,0,30,376,366264
158,201.2,1736,756,1,0,50,319,369336
159,209.4,701,547,2,0,50,370,369424
160,263.2,933,1316,0,0,20,397,371216
161,165.0,938,575,1,0,50,380,372384
162,258.8,1723,544,3,0,120,369,372656
163,462.0,1792,1310,4,0,110,207,374712
164,192.6,1263,713,1,0,150,328,376368
165,273.6,1069,618,3,0,90,368,377888
166,219.6,664,598,2,0,60,381,377968
167,214.4,2167,572,2,0,120,383,379408
168,186.2,590,181,3,0,70,393,381088
169,218.0,981,590,2,0,60,357,382560
170,211.0,1715,555,2,0,200,377,384936
171,168.4,723,592,1,0,30,367,385192
172,220.0,1652,600,2,0,100,370,385600
173,262.2,1021,1311,0,0,50,392,386056
174,242.0,1033,710,2,0,50,326,386232
175,72.2,545,111,1,0,20,385,386920
176,259.4,919,797,2,0,50,314,393408
177,251.0,1027,755,2,0,70,350,394448
178,611.4,1720,57,12,0,1760,392,394848
179,254.4,1326,1022,1,0,50,260,395544
180,307.8,1411,1039,2,0,110,350,396480
181,211.0,582,555,2,0,40,382,399104
182,1922.0,3967,2610,28,0,640,212,401160
183,81.6,970,158,1,0,50,390,403304
184,953.2,2243,766,16,0,2075,288,403544
185,263.2,1089,1316,0,0,70,397,403560
186,270.4,1191,1102,1,0,60,304,406008
187,254.6,1683,1023,1,0,70,206,406872
188,261.0,1133,555,3,0,100,371,408168
189,186.2,716,181,3,0,90,393,409272
190,344.2,1184,721,4,0,90,280,410632
191,962.2,2986,61,19,0,1530,395,410808
192,201.4,735,757,1,0,40,337,411888
193,260.2,644,551,3,0,80,377,413320
194,260.6,828,553,3,0,90,379,413496
195,271.2,1515,1106,1,0,70,362,415680
196,272.0,1726,1110,1,0,90,341,417112
197,264.6,723,1323,0,0,40,397,417672
198,255.4,980,1027,1,0,70,320,418472
199,271.4,982,1107,1,0,40,309,421352
200,309.6,1567,798,3,0,110,342,421808
201,89.0,981,195,1,0,60,393,423528
202,166.4,930,582,1,0,60,384,425912
203,252.4,1403,1012,1,0,100,329,428336
204,258.8,1466,794,2,0,70,253,429400
205,262.2,2085,1311,0,0,110,396,430000
206,1013.0,2481,65,20,0,1970,394,430656
207,365.2,1217,1326,2,0,90,396,431088
208,262.8,1214,564,3,0,90,376,431520
209,123.0,847,615,0,0,50,374,432688
210,90.0,493,200,1,0,30,394,435464
211,38.2,955,191,0,0,10,393,437040
212,426.6,1400,1633,2,0,120,279,439536
213,365.4,1054,1327,2,0,170,394,441120
214,308.0,1299,1040,2,0,80,314,441480
215,861.8,1411,1309,12,0,260,395,441944
216,359.2,1495,1296,2,0,110,339,441960
217,84.0,437,170,1,0,30,391,445440
218,428.4,1258,1892,1,0,70,379,445528
219,202.2,769,1011,0,0,10,364,445688
220,815.0,2859,1325,11,0,280,394,446400
221,256.8,631,534,3,0,80,371,447008
222,89.2,1000,196,1,0,30,393,449120
223,139.2,574,196,2,0,50,393,450280
224,184.4,948,672,1,0,40,374,453024
225,353.8,941,1019,3,0,100,315,453928
226,266.2,1145,581,3,0,120,367,454688
227,163.4,610,567,1,0,30,377,457904
228,713.4,1477,67,14,0,1715,395,458824
229,313.2,1425,1316,1,0,80,396,460520
230,241.0,1364,705,2,0,80,372,461192
231,79.8,517,149,1,0,20,389,462040
232,253.8,1227,1019,1,0,80,357,464504
233,161.0,1330,555,1,0,60,373,464568
234,137.4,449,187,2,0,50,392,464784
235,622.4,3102,612,10,0,230,366,466296
236,113.4,844,567,0,0,40,380,467272
237,601.0,3958,755,9,0,250,323,468704
238,315.2,1272,1326,1,0,60,323,469000
239,262.0,663,560,3,0,70,376,471600
240,312.8,1112,1314,1,0,60,396,476168
241,312.6,1558,813,3,0,120,319,476968
242,82.0,1078,160,1,0,70,390,480224
243,825.2,2310,376,15,0,1980,298,480520
244,363.6,1452,1318,2,0,90,397,480616
245,360.0,1992,1300,2,0,150,304,480720
246,268.2,988,591,3,0,100,379,484072
247,310.0,2324,1300,1,0,110,267,487296
248,189.8,477,199,3,0,60,394,487888
249,159.8,1376,799,0,0,50,304,487976
250,362.4,1029,1312,2,0,60,395,488952
251,1059.0,3134,545,19,0,1785,278,489640
252,163.8,464,569,1,0,20,379,491688
253,135.6,523,178,2,0,50,391,492072
254,362.8,841,1314,2,0,80,394,495680
255,312.4,2028,1312,1,0,100,231,496448
256,262.2,971,1311,0,0,30,397,497408
257,252.8,1299,1014,1,0,70,276,497688
258,355.8,808,1029,3,0,90,349,498152
259,162.0,646,560,1,0,20,380,502576
260,168.8,769,594,1,0,40,375,502600
261,687.2,2950,186,13,0,310,393,504216
262,199.0,1587,745,1,0,70,360,504768
263,83.6,1029,168,1,0,60,391,506384
264,133.4,1326,167,2,0,90,389,508296
265,209.8,744,549,2,0,50,372,508552
266,952.2,3767,1011,15,0,380,280,510656
267,485.8,722,1679,3,0,130,388,512160
268,308.0,1467,790,3,0,120,318,514312
269,210.0,919,800,1,0,40,330,515904
270,167.0,686,585,1,0,40,377,517648
271,200.4,720,752,1,0,40,356,521664
272,779.2,921,1396,10,0,230,394,521680
273,850.0,3508,0,17,0,390,0,523744
274,259.4,1811,1297,0,0,60,267,525144
275,686.4,2996,182,13,0,310,391,528736
276,263.0,924,1315,0,0,20,396,529056
277,264.2,958,1321,0,0,60,397,529344
278,111.6,734,558,0,0,10,376,529616
279,650.0,3221,0,13,0,300,0,529984
280,209.6,914,548,2,0,80,375,532456
281,650.0,3052,0,13,0,310,0,532712
282,263.2,766,1316,0,0,50,396,535184
283,313.4,812,1317,1,0,80,396,535232
284,363.2,1057,1316,2,0,130,397,537800
285,653.8,3005,19,13,0,815,389,541688
286,252.6,1512,1013,1,0,90,317,541712
287,302.8,1262,1014,2,0,100,294,542808
288,413.2,978,1316,3,0,100,394,543056
289,252.2,1202,1011,1,0,70,321,544800
290,158.4,1938,792,0,0,80,346,545488
291,112.0,593,560,0,0,10,377,546432
292,133.2,1120,166,2,0,70,391,546760
293,30.4,533,152,0,0,20,390,547072
294,1270.8,1955,2604,15,0,320,144,548096
295,83.6,789,168,1,0,30,391,551800
296,353.2,1225,1516,1,0,80,343,552856
297,263.2,829,1316,0,0,20,396,553704
298,312.6,1161,1313,1,0,110,395,554088
299,306.0,976,1030,2,0,80,303,554240
300,312.2,938,1311,1,0,50,397,554264
301,323.6,1629,1118,2,0,100,300,554744
302,173.4,1003,617,1,0,50,365,556120
303,37.6,513,188,0,0,10,392,556960
304,240.6,611,703,2,0,50,370,558976
305,313.4,686,1317,1,0,30,397,559752
306,257.8,892,789,2,0,90,352,560840
307,236.6,901,683,2,0,60,356,561448
308,262.6,885,1313,0,0,20,396,561824
309,412.2,1427,1561,2,0,100,308,563216
310,197.4,1110,737,1,0,40,360,565840
311,222.2,779,611,2,0,50,368,567072
312,114.2,938,571,0,0,50,378,567256
313,202.4,1463,1012,0,0,70,310,567824
314,200.4,693,752,1,0,30,339,568760
315,34.2,1082,171,0,0,50,391,570104
316,255.8,1110,1029,1,0,80,340,570704
317,166.6,552,583,1,0,30,379,572240
318,265.8,875,1329,0,0,30,396,572840
319,174.6,749,623,1,0,20,357,573064
320,196.0,613,730,1,0,40,368,575608
321,189.4,1144,697,1,0,80,373,576408
322,172.6,923,613,1,0,50,368,577488
323,114.4,658,572,0,0,20,381,577504
324,113.0,772,565,0,0,0,378,579240
325,264.4,840,1322,0,0,40,396,579560
326,239.2,1443,696,2,0,100,362,580304
327,216.2,622,581,2,0,40,383,581384
328,88.8,852,194,1,0,80,393,582424
329,311.6,637,1308,1,0,30,397,584336
