episode,total_reward,length,ammo,ammo_delta,health,hitcount,hitcount_delta,damage_taken,damage_taken_delta,total_timesteps
116,-1090.892447,54,0,0,0,0,0,0,0,13016
117,-1201.736652,105,0,0,0,0,0,0,0,13072
118,-469.039972,28,0,0,0,0,0,0,0,13240
119,-681.45459,36,0,0,0,0,0,0,0,13288
120,-491.797253,37,0,0,0,0,0,0,0,13368
121,-496.35202,21,0,0,0,0,0,0,0,13456
122,-1002.513202,80,0,0,0,0,0,0,0,13536
123,-558.504987,37,0,0,0,0,0,0,0,13752
124,-2699.768466,525,0,0,0,0,0,0,0,13768
125,-832.839383,52,0,0,0,0,0,0,0,13952
126,-1268.679846,109,0,0,0,0,0,0,0,14112
127,-749.360941,43,0,0,0,0,0,0,0,14112
128,-787.404544,35,0,0,0,0,0,0,0,14392
129,-1022.584293,85,0,0,0,0,0,0,0,14632
130,-1049.22467,86,0,0,0,0,0,0,0,14800
131,-1547.521317,201,0,0,0,0,0,0,0,14976
132,-1203.137891,52,0,0,0,0,0,0,0,15048
133,-1072.886279,95,0,0,0,0,0,0,0,15152
134,-577.78009,46,0,0,0,0,0,0,0,15168
135,-1036.237344,43,0,0,0,0,0,0,0,15392
136,-1544.521182,210,0,0,0,0,0,0,0,15432
137,-1002.136902,81,0,0,0,0,0,0,0,15624
138,-920.183578,61,0,0,0,0,0,0,0,15656
139,-887.022241,38,0,0,0,0,0,0,0,15736
140,-807.464343,40,0,0,0,0,0,0,0,15976
141,-2173.398731,525,0,0,0,0,0,0,0,16064
142,-582.842661,43,0,0,0,0,0,0,0,16080
143,-1210.898105,95,0,0,0,0,0,0,0,16152
144,-899.942896,68,0,0,0,0,0,0,0,16168
145,-874.468628,31,0,0,0,0,0,0,0,16224
146,-2222.038852,525,0,0,0,0,0,0,0,16304
147,-846.637973,55,0,0,0,0,0,0,0,16520
148,-1179.307184,58,0,0,0,0,0,0,0,16616
149,-724.597742,63,0,0,0,0,0,0,0,16808
150,-1101.033615,36,0,0,0,0,0,0,0,16808
151,-971.079111,98,0,0,0,0,0,0,0,16848
152,-1051.421796,87,0,0,0,0,0,0,0,16864
153,-720.220865,23,0,0,0,0,0,0,0,16992
154,-2419.697635,525,0,0,0,0,0,0,0,17016
155,-1137.094278,108,0,0,0,0,0,0,0,17088
156,-757.60575,29,0,0,0,0,0,0,0,17096
157,-987.387985,101,0,0,0,0,0,0,0,17424
158,-944.65954,93,0,0,0,0,0,0,0,17552
159,-899.735559,38,0,0,0,0,0,0,0,17728
160,-1214.091452,114,0,0,0,0,0,0,0,17760
161,-1079.127151,101,0,0,0,0,0,0,0,17896
162,-577.752768,44,0,0,0,0,0,0,0,17904
163,-767.546567,37,0,0,0,0,0,0,0,18024
164,-895.120496,32,0,0,0,0,0,0,0,18160
165,-949.765295,44,0,0,0,0,0,0,0,18248
166,-1007.619662,45,0,0,0,0,0,0,0,18384
167,-607.549777,40,0,0,0,0,0,0,0,18568
168,-564.8927,46,0,0,0,0,0,0,0,18752
169,-969.531195,79,0,0,0,0,0,0,0,18792
170,-779.784818,37,0,0,0,0,0,0,0,18864
171,-802.209637,37,0,0,0,0,0,0,0,19048
172,-700.686011,49,0,0,0,0,0,0,0,19256
173,-2710.619754,525,0,0,0,0,0,0,0,19352
174,-1231.927585,310,0,0,0,0,0,0,0,19496
175,-654.910645,51,0,0,0,0,0,0,0,19664
176,-567.534808,40,0,0,0,0,0,0,0,19672
177,-800.83233,43,0,0,0,0,0,0,0,19840
178,-1160.506488,50,0,0,0,0,0,0,0,20240
179,-1100.133371,133,0,0,0,0,0,0,0,20736
180,-2243.880338,482,0,0,0,0,0,0,0,20952
181,-1151.165399,108,0,0,0,0,0,0,0,21104
182,-809.149194,48,0,0,0,0,0,0,0,21120
183,-2273.399844,525,0,0,0,0,0,0,0,21192
184,-1205.121744,53,0,0,0,0,0,0,0,21376
185,-1088.475174,41,0,0,0,0,0,0,0,21432
186,-522.084201,40,0,0,0,0,0,0,0,21512
187,-455.586829,24,0,0,0,0,0,0,0,21568
188,-742.28045,53,0,0,0,0,0,0,0,21856
189,-521.447107,43,0,0,0,0,0,0,0,21912
190,-1875.618137,525,0,0,0,0,0,0,0,21960
191,-788.483038,49,0,0,0,0,0,0,0,22248
192,-761.511899,37,0,0,0,0,0,0,0,22256
193,-1008.011996,50,0,0,0,0,0,0,0,22312
194,-1070.811108,117,0,0,0,0,0,0,0,22448
195,-738.7702,37,0,0,0,0,0,0,0,22552
196,-641.241281,43,0,0,0,0,0,0,0,22592
197,-1057.192462,20,0,0,0,0,0,0,0,22712
198,-516.327496,37,0,0,0,0,0,0,0,22744
199,-1002.606039,79,0,0,0,0,0,0,0,22944
200,-2198.026935,525,0,0,0,0,0,0,0,22992
201,-528.036862,32,0,0,0,0,0,0,0,23000
202,-571.539001,46,0,0,0,0,0,0,0,23080
203,-762.788699,65,0,0,0,0,0,0,0,23112
204,-879.234351,29,0,0,0,0,0,0,0,23224
205,-1776.825168,525,0,0,0,0,0,0,0,23248
206,-950.457632,24,0,0,0,0,0,0,0,23272
207,-750.718945,37,0,0,0,0,0,0,0,23408
208,-810.993216,34,0,0,0,0,0,0,0,23496
209,-1172.357416,108,0,0,0,0,0,0,0,23808
210,-503.745404,42,0,0,0,0,0,0,0,23832
211,-900.636337,71,0,0,0,0,0,0,0,23840
212,-2633.973605,525,0,0,0,0,0,0,0,23864
213,-379.900436,31,0,0,0,0,0,0,0,24112
214,-590.023074,40,0,0,0,0,0,0,0,24128
215,-531.405017,40,0,0,0,0,0,0,0,24152
216,-595.917749,43,0,0,0,0,0,0,0,24184
217,-1060.123947,26,0,0,0,0,0,0,0,24392
218,-763.125027,42,0,0,0,0,0,0,0,24448
219,-914.679398,51,0,0,0,0,0,0,0,24536
220,-1290.18949,64,0,0,0,0,0,0,0,24664
221,-1398.25379,164,0,0,0,0,0,0,0,24720
222,-818.685019,49,0,0,0,0,0,0,0,24784
223,-602.801492,43,0,0,0,0,0,0,0,24880
224,-1685.255432,211,0,0,0,0,0,0,0,24936
225,-735.696878,68,0,0,0,0,0,0,0,24992
226,-941.580093,26,0,0,0,0,0,0,0,24992
227,-1148.701874,41,0,0,0,0,0,0,0,24992
228,-796.323779,40,0,0,0,0,0,0,0,25040
229,-445.433087,37,0,0,0,0,0,0,0,25288
230,-584.359921,37,0,0,0,0,0,0,0,25288
231,-2045.982886,525,0,0,0,0,0,0,0,25320
232,-1024.943179,65,0,0,0,0,0,0,0,25456
233,-824.544272,54,0,0,0,0,0,0,0,25472
234,-909.15358,76,0,0,0,0,0,0,0,25488
235,-793.479944,43,0,0,0,0,0,0,0,25632
236,-802.958337,53,0,0,0,0,0,0,0,25712
237,-878.843671,37,0,0,0,0,0,0,0,25752
238,-562.620639,40,0,0,0,0,0,0,0,25808
239,-969.112744,52,0,0,0,0,0,0,0,25888
240,-909.434363,24,0,0,0,0,0,0,0,26000
241,-838.76694,85,0,0,0,0,0,0,0,26000
242,-1061.795807,131,0,0,0,0,0,0,0,26040
243,-560.246536,46,0,0,0,0,0,0,0,26080
244,-1043.486819,65,0,0,0,0,0,0,0,26152
245,-696.689053,37,0,0,0,0,0,0,0,26184
246,-577.951251,40,0,0,0,0,0,0,0,26320
247,-552.345056,43,0,0,0,0,0,0,0,26384
248,-579.191531,40,0,0,0,0,0,0,0,26400
249,-1035.830157,110,0,0,0,0,0,0,0,26632
250,-563.431042,42,0,0,0,0,0,0,0,26656
251,-1039.999094,63,0,0,0,0,0,0,0,26656
252,-889.709409,27,0,0,0,0,0,0,0,26848
253,-733.255737,61,0,0,0,0,0,0,0,26872
254,-917.708618,96,0,0,0,0,0,0,0,26952
255,-942.052362,63,0,0,0,0,0,0,0,27160
256,-2425.175006,525,0,0,0,0,0,0,0,27200
257,-703.104694,70,0,0,0,0,0,0,0,27216
258,-415.14613,17,0,0,0,0,0,0,0,27336
259,-1308.576111,121,0,0,0,0,0,0,0,27368
260,-878.557648,66,0,0,0,0,0,0,0,27400
261,-772.780453,37,0,0,0,0,0,0,0,27512
262,-961.723859,77,0,0,0,0,0,0,0,27568
263,-839.102939,35,0,0,0,0,0,0,0,27680
264,-984.93902,63,0,0,0,0,0,0,0,27840
265,-692.467908,37,0,0,0,0,0,0,0,27864
266,-717.51402,37,0,0,0,0,0,0,0,27976
267,-1884.007095,266,0,0,0,0,0,0,0,28128
268,-1036.344385,33,0,0,0,0,0,0,0,28128
269,-1211.801917,124,0,0,0,0,0,0,0,28152
270,-1136.014139,98,0,0,0,0,0,0,0,28296
271,-793.567746,32,0,0,0,0,0,0,0,28408
272,-923.759317,83,0,0,0,0,0,0,0,28504
273,-1077.942496,39,0,0,0,0,0,0,0,28608
274,-757.971744,35,0,0,0,0,0,0,0,28688
275,-1633.154367,235,0,0,0,0,0,0,0,28728
276,-1101.099191,88,0,0,0,0,0,0,0,28832
277,-1123.681784,109,0,0,0,0,0,0,0,28848
278,-775.403436,43,0,0,0,0,0,0,0,28952
279,-886.922177,62,0,0,0,0,0,0,0,29000
280,-804.01265,36,0,0,0,0,0,0,0,29016
281,-701.747327,37,0,0,0,0,0,0,0,29128
282,-1223.460724,126,0,0,0,0,0,0,0,29136
283,-758.328128,40,0,0,0,0,0,0,0,29168
284,-785.587906,36,0,0,0,0,0,0,0,29304
285,-808.719189,42,0,0,0,0,0,0,0,29464
286,-800.317169,66,0,0,0,0,0,0,0,29664
287,-908.014587,46,0,0,0,0,0,0,0,29672
288,-1298.510492,123,0,0,0,0,0,0,0,29672
289,-569.396954,37,0,0,0,0,0,0,0,29760
290,-529.101346,37,0,0,0,0,0,0,0,29968
291,-1057.09845,106,0,0,0,0,0,0,0,30016
292,-1074.309317,144,0,0,0,0,0,0,0,30104
293,-1651.701154,377,0,0,0,0,0,0,0,30384
294,-1126.847446,115,0,0,0,0,0,0,0,30680
295,-779.343381,37,0,0,0,0,0,0,0,30680
296,-1065.670731,91,0,0,0,0,0,0,0,30832
297,-1173.525644,103,0,0,0,0,0,0,0,30840
298,-1125.882794,112,0,0,0,0,0,0,0,30864
299,-566.378299,40,0,0,0,0,0,0,0,31000
300,-1266.271396,170,0,0,0,0,0,0,0,31032
301,-556.25845,37,0,0,0,0,0,0,0,31136
302,-997.839273,58,0,0,0,0,0,0,0,31144
303,-751.399594,37,0,0,0,0,0,0,0,31160
304,-719.026959,37,0,0,0,0,0,0,0,31440
305,-554.265192,43,0,0,0,0,0,0,0,31480
306,-732.346667,40,0,0,0,0,0,0,0,31480
307,-959.992438,24,0,0,0,0,0,0,0,31672
308,-1176.829926,106,0,0,0,0,0,0,0,31680
309,-610.805276,43,0,0,0,0,0,0,0,31824
310,-954.311652,54,0,0,0,0,0,0,0,31872
